DATE,TIME,OPEN,HIGH,LOW,CLOSE,BollUp1,Boll1,BollDown1,BollUp2,Boll2,BollDown2,BollUp3,Boll3,BollDown3,SuperTrend,MACD,Signal,Histogram,RSI,%K,%D,ADX,ADXR,HistoricalVolatility,Returns,Target
07-Sep-18,10:14:00,11527.55,11527.65,11525.35,11525.7,11538.09,11521.1,11504.1,11535.66,11521.1,11506.53,11533.24,11521.1,11508.96,11513.99,4.59,4.23,0.36,59.46,83.71,87.3,22.71,23.64,0.49,-0.000303623,0
07-Sep-18,10:13:00,11529.3,11530.1,11527.5,11527.75,11537.44,11520.87,11504.3,11535.07,11520.87,11506.67,11532.71,11520.87,11509.03,11513.99,4.76,4.13,0.63,62.82,87.76,85.59,22.89,24.16,0.5,0.000177848,1
07-Sep-18,10:12:00,11527.7,11529.75,11525.35,11528.95,11536.03,11520.45,11504.88,11533.8,11520.45,11507.1,11531.58,11520.45,11509.33,11512.93,4.71,3.98,0.73,64.82,91.95,82.86,22.44,23.44,0.5,0.000104091,1
07-Sep-18,10:11:00,11527.1,11530.75,11526.8,11528.15,11534.11,11519.74,11505.36,11532.06,11519.74,11507.42,11530,11519.74,11509.47,11512.93,4.45,3.79,0.65,64.11,89.39,78.22,22.02,22.94,0.5,-6.94E-05,0
07-Sep-18,10:10:00,11523.8,11527.85,11523.1,11527.45,11532.07,11519.04,11506.01,11530.21,11519.04,11507.87,11528.35,11519.04,11509.73,11509.18,4.13,3.63,0.5,63.52,83.7,71.95,21.13,22.19,0.51,-6.07E-05,0
07-Sep-18,10:09:00,11521,11523.7,11519.95,11523.4,11530.01,11518.31,11506.62,11528.34,11518.31,11508.29,11526.67,11518.31,11509.96,11507.31,3.74,3.51,0.24,59.95,75.14,63.12,20.63,21.85,0.52,-0.000351397,0
07-Sep-18,10:08:00,11522.1,11525.9,11519.75,11521.35,11528.95,11517.93,11506.92,11527.37,11517.93,11508.5,11525.8,11517.93,11510.07,11507.31,3.6,3.45,0.15,58.03,74.1,56.65,20.81,21.84,0.53,-0.000177915,0
07-Sep-18,10:07:00,11522.75,11525.95,11521.65,11521.65,11529.42,11517.36,11505.3,11527.7,11517.36,11507.03,11525.97,11517.36,11508.75,11507.31,3.57,3.41,0.16,58.41,68.78,50.38,21.01,21.31,0.54,2.60E-05,1
07-Sep-18,10:06:00,11518.6,11522.4,11518.5,11522.4,11530.81,11516.56,11502.31,11528.78,11516.56,11504.34,11526.74,11516.56,11506.38,11507.31,3.46,3.37,0.09,59.32,58.03,48.61,20.73,20.63,0.54,6.51E-05,1
07-Sep-18,10:05:00,11516.6,11518.55,11510.6,11518.55,11532.52,11515.53,11498.55,11530.09,11515.53,11500.97,11527.67,11515.53,11503.4,11507.31,3.19,3.35,-0.16,56.06,39.55,50.67,21.04,20.51,0.54,-0.000334188,0
07-Sep-18,10:04:00,11512.75,11518.05,11511.95,11516.8,11533.76,11514.77,11495.78,11531.05,11514.77,11498.49,11528.33,11514.77,11501.21,11507.31,3.18,3.38,-0.2,54.53,42.79,59.43,22.13,20.93,0.56,-0.00015194,0
07-Sep-18,10:03:00,11518.4,11519.35,11512.6,11512.6,11536.09,11513.87,11491.66,11532.92,11513.87,11494.83,11529.74,11513.87,11498,11507.31,3.31,3.44,-0.13,50.69,42.73,68.02,22.97,21.22,0.56,-0.000364751,0
07-Sep-18,10:02:00,11512.45,11519.05,11511.45,11518.35,11540.11,11512.88,11485.65,11536.22,11512.88,11489.54,11532.33,11512.88,11493.43,11507.31,3.85,3.47,0.39,56.78,59.95,75.85,23.72,21.49,0.52,0.000499328,1
07-Sep-18,10:01:00,11520.15,11520.75,11511.85,11511.85,11543.47,11511.4,11479.33,11538.89,11511.4,11483.91,11534.3,11511.4,11488.49,11507.31,3.91,3.37,0.54,50.55,68.33,80.7,24.58,22.2,0.5,-0.000564476,0
